Date,Open,High,Low,Close,Adj Close,Volume
2014-07-31,1378.890015,1398.479980,1320.989990,1388.890015,1388.890015,1283590800
2014-08-31,1390.630005,1424.219971,1376.180054,1403.000000,1403.000000,1672553300
2014-09-30,1396.479980,1414.079956,1246.560059,1412.839966,1412.839966,2424610300
2014-10-31,1413.689941,1474.890015,1396.229980,1461.339966,1461.339966,1514354100
2014-11-30,1454.209961,1479.369995,1386.609985,1464.550049,1464.550049,530734800
2014-12-31,1470.550049,1582.099976,1421.339966,1573.619995,1573.619995,0
2015-01-31,1576.170044,1695.369995,1567.630005,1691.030029,1691.030029,0
2015-02-28,1691.439941,1719.439941,1634.800049,1667.729980,1667.729980,87964700
2015-03-31,1661.790039,1720.020020,1615.449951,1628.040039,1628.040039,0
2015-04-30,1644.300049,1669.130005,1558.160034,1644.989990,1644.989990,0
2015-05-31,1648.469971,1657.589966,1537.930054,1541.660034,1541.660034,0
2015-06-30,1550.640015,1658.930054,1507.010010,1615.640015,1615.640015,0
2015-07-31,1615.439941,1638.119995,1405.010010,1501.069946,1501.069946,0
2015-08-31,1487.270020,1524.229980,1369.290039,1416.890015,1416.890015,86107000
2015-09-30,1432.400024,1515.229980,1396.199951,1499.229980,1499.229980,0
2015-10-31,1487.469971,1542.119995,1458.520020,1536.050049,1536.050049,0
2015-11-30,1536.280029,1546.530029,1388.780029,1446.819946,1446.819946,0
2015-12-31,1441.339966,1441.339966,1283.130005,1356.319946,1356.319946,0
2016-01-31,1357.130005,1385.800049,1247.060059,1372.540039,1372.540039,0
2016-02-29,1372.540039,1431.640015,1339.880005,1365.699951,1365.699951,0
2016-03-31,1360.790039,1422.790039,1323.550049,1360.709961,1360.709961,77976700
2016-04-30,1360.709961,1383.380005,1300.900024,1369.479980,1369.479980,0
2016-05-31,1369.579956,1369.680054,1240.680054,1323.579956,1323.579956,0
2016-06-30,1325.170044,1397.030029,1275.229980,1386.660034,1386.660034,0
2016-07-31,1388.829956,1429.109985,1347.089966,1418.140015,1418.140015,0
2016-08-31,1419.880005,1448.050049,1400.199951,1439.079956,1439.079956,0
2016-09-30,1439.829956,1473.479980,1422.089966,1446.349976,1446.349976,0
2016-10-31,1447.130005,1491.229980,1391.810059,1481.140015,1481.140015,0
2016-11-30,1480.530029,1553.599976,1461.660034,1517.199951,1517.199951,0
2016-12-31,1516.430054,1563.520020,1498.739990,1536.750000,1536.750000,0
2017-01-31,1537.469971,1593.880005,1537.469971,1570.170044,1570.170044,0
2017-02-28,1570.959961,1603.060059,1551.239990,1587.630005,1587.630005,0
2017-03-31,1587.869995,1627.729980,1543.699951,1626.989990,1626.989990,109950600
2017-04-30,1626.989990,1657.130005,1604.290039,1639.109985,1639.109985,103100500
2017-05-31,1639.300049,1658.869995,1584.369995,1602.530029,1602.530029,188260900
2017-06-30,1602.699951,1651.630005,1548.060059,1548.189941,1548.189941,0
2017-07-31,1548.189941,1583.140015,1517.770020,1546.859985,1546.859985,0
2017-08-31,1546.859985,1637.819946,1536.449951,1637.819946,1637.819946,0
2017-09-30,1637.819946,1675.609985,1634.209961,1671.630005,1671.630005,0
2017-10-31,1671.630005,1681.750000,1606.599976,1610.109985,1610.109985,113657300
2017-11-30,1609.250000,1627.939941,1573.560059,1576.939941,1576.939941,0
2017-12-31,1577.079956,1647.689941,1573.760010,1593.150024,1593.150024,0
2018-01-31,1596.000000,1610.270020,1487.949951,1583.390015,1583.390015,65618900
2018-02-28,1583.229980,1603.339966,1484.140015,1535.349976,1535.349976,91306000
2018-03-31,1533.199951,1593.099976,1482.219971,1570.709961,1570.709961,0
2018-04-30,1574.880005,1634.760010,1544.829956,1549.939941,1549.939941,355300900
2018-05-31,1549.939941,1591.660034,1514.609985,1558.880005,1558.880005,0
2018-06-30,1557.459961,1619.109985,1511.829956,1615.599976,1615.599976,0
2018-07-31,1616.109985,1679.510010,1592.050049,1658.160034,1658.160034,0
2018-08-31,1657.670044,1676.890015,1609.390015,1662.359985,1662.359985,55112500
2018-09-30,1662.709961,1677.329956,1473.790039,1538.219971,1538.219971,0
2018-10-31,1537.719971,1551.790039,1447.969971,1514.630005,1514.630005,66661600
2018-11-30,1523.880005,1544.390015,1378.420044,1408.739990,1408.739990,0
2018-12-31,1407.650024,1526.130005,1378.199951,1515.420044,1515.420044,88490300
2019-01-31,1515.780029,1598.089966,1514.930054,1572.680054,1572.680054,90458900
2019-02-28,1574.300049,1622.329956,1545.189941,1553.420044,1553.420044,0
2019-03-31,1554.920044,1633.829956,1554.920044,1616.560059,1616.560059,0
